# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.125225257873535156e+01 5.712871551513671875e-01 2.942905235290527344e+01 5.712871551513671875e-01
1.000000000000000000e+03 2.342176437377929688e-02 5.015607476234436035e-01 2.778199873864650726e-02 5.015607476234436035e-01
2.000000000000000000e+03 1.080909371376037598e-02 5.065214037895202637e-01 1.189759466797113419e-02 5.065214037895202637e-01
3.000000000000000000e+03 9.625620208680629730e-03 5.064030885696411133e-01 1.046982780098915100e-02 5.064030885696411133e-01
4.000000000000000000e+03 8.094222284853458405e-03 5.062268972396850586e-01 8.622605353593826294e-03 5.062268972396850586e-01
5.000000000000000000e+03 6.449643988162279129e-03 5.060249567031860352e-01 6.527015473693609238e-03 5.060249567031860352e-01
6.000000000000000000e+03 5.050780251622200012e-03 5.057017207145690918e-01 4.754930268973112106e-03 5.057017207145690918e-01
7.000000000000000000e+03 4.142685793340206146e-03 5.053533315658569336e-01 3.565369173884391785e-03 5.053533315658569336e-01
8.000000000000000000e+03 3.667665412649512291e-03 5.049556493759155273e-01 3.002915298566222191e-03 5.049556493759155273e-01
9.000000000000000000e+03 3.535072784870862961e-03 5.044282674789428711e-01 2.810858888551592827e-03 5.044282674789428711e-01
1.000000000000000000e+04 3.591895801946520805e-03 5.036695599555969238e-01 2.900167135521769524e-03 5.036695599555969238e-01
1.100000000000000000e+04 3.780707484111189842e-03 5.028274059295654297e-01 3.260268364101648331e-03 5.028274059295654297e-01
1.200000000000000000e+04 4.140406847000122070e-03 5.021513700485229492e-01 3.678895067423582077e-03 5.021513700485229492e-01
1.300000000000000000e+04 4.330764990299940109e-03 5.016233325004577637e-01 4.026808775961399078e-03 5.016233325004577637e-01
1.400000000000000000e+04 4.523370880633592606e-03 5.011798739433288574e-01 4.099505022168159485e-03 5.011798739433288574e-01
1.500000000000000000e+04 4.600084852427244186e-03 5.008848309516906738e-01 4.148995969444513321e-03 5.008848309516906738e-01
1.600000000000000000e+04 4.620001185685396194e-03 5.007523298263549805e-01 4.147780593484640121e-03 5.007523298263549805e-01
1.700000000000000000e+04 4.572314210236072540e-03 5.006587505340576172e-01 4.115981981158256531e-03 5.006587505340576172e-01
1.800000000000000000e+04 4.607526119798421860e-03 5.004982352256774902e-01 4.036966711282730103e-03 5.004982352256774902e-01
1.900000000000000000e+04 4.467900376766920090e-03 5.004373192787170410e-01 3.980045206844806671e-03 5.004373192787170410e-01
2.000000000000000000e+04 4.581487737596035004e-03 5.001851916313171387e-01 4.083988722413778305e-03 5.001851916313171387e-01
