Learning Rate,Num Dense Layers,Num Dense Nodes,Activation,Initialization,W_domain,W_bc0,W_bc1,W_ic,Error,Time Spent
0.0001046,3,165,sigmoid,He normal,1,10000,1,100,67.71374019889033,60.52415895462036
0.0001046,3,165,sigmoid,He normal,1,10,1,100,105.0347652717024,60.66716718673706
5.673916999869182e-05,3,116,silu,He uniform,145,53,103,37,9.498084686192517,70.09323787689209
0.006637293484517466,2,252,selu,Glorot uniform,37,106,174,81,9.565816067674039,56.22313618659973
7.652669341243409e-05,7,270,selu,He uniform,142,195,170,30,31.904143690642808,152.11958241462708
3.0698929108809945e-05,7,22,silu,He normal,73,55,173,166,15.90173524145424,117.78382658958435
0.004963108472984065,3,197,sigmoid,He normal,98,3,154,7,25.220961916381256,63.680394411087036
0.018650958436080483,8,369,sigmoid,He uniform,162,3,195,3,45.99806017856867,221.98323488235474
2.9731824681162837e-05,2,268,silu,He normal,171,25,39,164,19.633827348982106,69.71803855895996
0.0008071849874623582,2,343,silu,He normal,223,150,167,162,68.18906220941349,79.18177151679993
0.05523579101190243,5,144,relu,He normal,197,106,57,148,44.75966426294093,63.14574670791626
1.344796806422633e-05,5,60,tanh,He normal,39,111,116,57,39.70746318944539,72.68825364112854
0.21788060459464648,8,7,elu,He uniform,123,250,0,88,23.10126058131177,107.23607659339905
1.2774471609203795e-05,8,7,sigmoid,Glorot uniform,37,237,198,182,45.126322895235376,99.30218815803528
0.008079445275179835,2,256,selu,Glorot uniform,38,103,177,77,25.06957831422656,56.09496474266052
0.006189038403888488,3,199,selu,He normal,65,133,187,92,21.392190867378126,67.5053346157074
5.912834923406594e-05,3,27,silu,He uniform,155,247,82,52,16.54351137692171,68.53191995620728
0.002959997150281231,1,347,selu,Glorot uniform,0,0,4,122,161.26990571712574,40.92646265029907
1.5010435790133973e-05,1,7,tanh,He uniform,117,0,116,182,34.374700826208496,38.46167588233948
0.21788060459464648,2,158,tanh,Glorot uniform,0,165,138,182,69.91472062365938,48.81179237365723
0.21788060459464648,1,384,elu,He uniform,0,0,198,0,929.2513096026396,41.93697381019592
0.21788060459464648,1,384,tanh,Glorot uniform,250,0,198,0,377.3740077911329,40.83883357048035
1.2774471609203795e-05,1,7,tanh,He uniform,141,48,0,135,84.93738703594553,38.51016807556152
0.008150523851503248,7,32,elu,He uniform,140,250,100,42,5.649727387263548,100.26296997070312
3.055333451408961e-05,7,360,swish,He normal,135,250,0,180,105.1482042250383,261.9617462158203
1.2774471609203795e-05,1,179,sigmoid,He normal,173,0,198,0,70.60468304356175,41.31754970550537
0.21788060459464648,1,154,tanh,Glorot uniform,54,250,198,15,137.03456699765377,40.51999473571777
0.21788060459464648,8,7,elu,He uniform,133,250,198,0,45.42875743512611,107.14899063110352
0.036162899189874115,1,384,elu,Glorot uniform,31,0,157,60,30.730790941835856,41.5874285697937
0.21788060459464648,8,7,elu,He uniform,136,250,96,12,45.132960652403725,107.27832698822021
1.2816178071794046e-05,1,7,elu,He normal,72,250,198,0,16.246951796852922,39.32395887374878
0.21788060459464648,1,384,elu,Glorot uniform,23,23,198,99,268.06106284455194,41.79647874832153
0.10190606533347099,4,7,swish,Glorot uniform,0,243,44,182,43.65092148737072,77.99509954452515
2.0577453307286984e-05,1,7,selu,He uniform,81,23,176,182,19.147761411035773,39.30074405670166
0.019704676724969276,4,264,selu,Glorot uniform,50,143,198,182,11213.683238206098,94.32844519615173
0.21788060459464648,1,112,tanh,Glorot uniform,0,177,103,182,123.06204213072212,39.49620580673218
0.11569401417306123,8,7,elu,Glorot uniform,0,250,0,182,23.25507450697855,107.13204193115234
1.2774471609203795e-05,8,7,tanh,He uniform,250,10,0,182,26.280176009817115,97.39631628990173
0.017005022187680515,4,7,elu,He uniform,29,146,135,151,85.55559749791273,68.41622257232666
3.468812773920072e-05,2,7,sigmoid,Glorot uniform,0,203,97,178,12.386682988084992,48.481642723083496
3.142454959278777e-05,6,120,elu,He normal,233,66,120,174,16.879789538732197,90.66339898109436
5.095066433883026e-05,8,265,elu,He uniform,169,83,95,44,12.41253733035087,172.4629373550415
2.211502235332229e-05,5,7,sigmoid,Glorot uniform,39,158,83,154,34.17884214122253,72.19327306747437
0.0002711669825314379,8,288,silu,He normal,135,232,147,138,99.58238621131153,236.33904266357422
0.0002516461660653146,3,15,silu,He normal,94,216,112,59,42.29784177040211,67.01943850517273
0.02103035670800203,3,52,tanh,Glorot uniform,57,190,29,181,41.00581908492662,56.51633667945862
0.0006610413405563917,1,228,relu,Glorot uniform,10,74,109,35,220.09514279266048,39.15264415740967
0.001535925574129547,8,332,tanh,He uniform,250,0,21,24,45.52729400800136,189.78474283218384
0.00036895258817085845,2,285,relu,He uniform,67,174,191,139,135.97705637565744,46.45517921447754
0.21788060459464648,8,149,elu,Glorot uniform,1,27,0,105,625863437645.2847,120.39554071426392
2.116251724862795e-05,5,7,silu,Glorot uniform,44,163,82,157,9.372422972840075,89.99373030662537
4.2850095117775586e-05,5,26,sigmoid,Glorot uniform,58,164,97,164,5.427849962413526,78.05425786972046
4.257451380828642e-05,5,24,sigmoid,Glorot uniform,38,157,87,153,7.278919694708917,78.18008804321289
8.473670651492143e-05,5,42,sigmoid,Glorot uniform,45,159,88,150,67.111781840055,75.48481130599976
6.617117572771577e-05,5,40,sigmoid,Glorot uniform,39,159,88,152,38.603156135226776,77.04822039604187
4.7091773923716576e-05,5,27,sigmoid,Glorot uniform,45,160,81,150,7.478177581757201,97.94233536720276
9.812316733301171e-05,5,7,silu,Glorot uniform,41,159,98,166,42.307375058032974,90.05266642570496
0.00041800973565866257,5,40,sigmoid,Glorot uniform,28,157,100,170,110.37593758079417,74.56853938102722
0.008038411335145117,5,64,sigmoid,Glorot uniform,7,157,121,182,107.4027568906749,75.11260724067688
0.009236223542891539,5,94,selu,Glorot uniform,7,158,125,182,21.949640014456225,80.31914067268372
0.031091218888098522,5,97,selu,Glorot uniform,9,159,129,182,45.15264039538228,80.39596390724182
4.956755877541822e-05,5,17,silu,Glorot uniform,36,159,83,160,106.44796985133439,91.32152128219604
0.0001404550685699751,5,35,sigmoid,Glorot uniform,31,159,101,163,92.39281850336545,74.60504961013794
0.0013372348309175861,5,45,sigmoid,Glorot uniform,28,160,105,175,103.93724726504274,74.79094243049622
0.003617907394264769,5,61,sigmoid,Glorot uniform,12,159,118,175,101.56951657930065,74.98598408699036
0.0005755485184328288,5,55,selu,Glorot uniform,25,159,107,174,121.65877856162747,80.21079468727112
0.0001271423280285984,5,35,sigmoid,Glorot uniform,37,160,91,162,64.7497730431895,74.56348490715027
0.023482191452957834,5,95,sigmoid,Glorot uniform,9,157,145,182,117.2936330505528,74.07112407684326
0.0017774997650219222,5,33,sin,Glorot uniform,12,158,128,178,103.76709280949892,74.05916500091553
0.0002128887689105765,5,21,sin,Glorot uniform,26,159,112,163,107.31833566712588,77.77897763252258
0.07117253951897574,5,81,sin,Glorot uniform,4,157,171,182,30776.39723929754,74.2984836101532
0.16545301583772035,5,97,sin,Glorot uniform,24,158,178,172,307337.3058394236,74.27136945724487
0.00022317201079338542,5,22,sin,Glorot uniform,21,159,115,173,109.02666783914289,78.25294947624207
0.0010687363823367081,5,43,silu,Glorot uniform,25,160,121,168,105.34208619486458,93.5963351726532
0.0029973529481895794,5,89,selu,Glorot uniform,41,157,144,170,74.96967874877984,80.14353728294373
0.027727708059258144,5,105,sigmoid,Glorot uniform,59,157,194,168,41.16010245469185,74.614985704422
0.00013923855246167946,5,51,selu,Glorot uniform,57,157,127,174,116.51349908516092,80.2584753036499
0.00048433443698120426,5,76,sigmoid,Glorot uniform,68,158,149,157,89.60279359934395,75.13223624229431
0.025890683574660806,5,78,sin,Glorot uniform,29,159,192,177,45.391829911926045,74.64038586616516
0.004298073281938084,5,84,sigmoid,Glorot uniform,63,159,173,173,105.08615321577369,75.17382478713989
0.0032062858278940347,5,60,silu,Glorot uniform,51,159,155,166,106.61719185224074,93.83451342582703
0.002057775643153223,5,59,sin,Glorot uniform,43,159,155,172,98.22880825945673,74.49061465263367
0.005086758837100866,5,55,sin,Glorot uniform,31,159,154,172,93.44389344859287,74.25267887115479
0.000244039490405467,5,122,selu,Glorot uniform,108,156,187,156,92.11937566137544,80.37382459640503
0.008808086219493553,5,203,relu,Glorot uniform,78,156,181,170,200.1299444986144,67.58203315734863
0.0071785435987337,5,179,sigmoid,Glorot uniform,86,158,194,176,99.71762155809253,82.02445006370544
2.9204606732286334e-05,8,22,selu,Glorot uniform,27,240,183,182,28.606495121302085,113.79440188407898
0.00037829145363841806,5,233,elu,Glorot uniform,106,157,149,160,97.49775775779885,103.1720335483551
0.057054826991476626,5,129,silu,Glorot uniform,60,158,182,169,121947719.14147823,101.1831796169281
3.839803166834076e-05,5,47,relu,Glorot uniform,53,159,117,176,195.13735868070555,62.412360191345215
0.006488865610886956,5,263,relu,Glorot uniform,161,155,198,130,206.2923845889568,76.06209945678711
0.0020513830659271677,8,7,sin,Glorot uniform,83,241,9,157,239.54369293070184,102.54847002029419
1.8254988919617804e-05,5,296,elu,Glorot uniform,250,157,182,107,25.11445258973362,124.14367985725403
0.00010141099894966437,8,7,sigmoid,Glorot uniform,12,241,190,180,6.27581980475376,99.71299839019775
0.00018205310717968993,8,7,relu,Glorot uniform,28,241,114,182,72.00636301904844,80.35099959373474
1.2774471609203795e-05,8,7,selu,Glorot uniform,43,239,137,164,12.035625054924685,107.26907157897949
0.003430530811141077,5,213,relu,Glorot uniform,95,156,167,119,202.68928114763884,68.15791487693787
0.0009813876694694506,5,173,selu,Glorot uniform,87,158,169,160,98.91040286918334,89.34628915786743
0.00047489295841503546,5,224,relu,Glorot uniform,149,157,195,112,193.6790818071147,68.0440764427185
1.2774471609203795e-05,8,7,silu,Glorot uniform,106,237,142,181,17.07731153811397,125.61818742752075
2.2161688622320164e-05,8,7,sin,Glorot uniform,247,238,169,165,26.89830499679646,102.1011130809784
1.2774471609203795e-05,8,7,selu,Glorot uniform,214,240,78,182,27.458776234586843,107.03678703308105
